timestamp,RMS,Peak,Crest,ZCR_Hz,dB,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
2026-09-01T21:38:17.547585,372634.72,8388608.0,22.51,125.0,111.43,784.705,-50.545,-8.257,-7.24,-2.815,-2.46,-1.313,-1.4,-1.016,-1.056,-0.692,-0.714,-0.576
2026-09-01T21:38:17.749437,370727.59,8388608.0,22.63,125.0,111.38,840.806,-51.32,-8.931,-7.815,-3.304,-2.881,-1.68,-1.718,-1.281,-1.265,-0.856,-0.849,-0.694
2026-09-01T21:38:17.948073,724.08,16384.0,22.63,125.0,57.2,510.254,-51.991,-9.529,-8.342,-3.765,-3.283,-2.033,-2.027,-1.551,-1.501,-1.063,-1.03,-0.851
2026-09-01T21:38:18.148764,371642.88,7798784.0,20.98,125.0,111.4,794.312,-51.471,-9.065,-7.934,-3.41,-2.981,-1.781,-1.812,-1.356,-1.31,-0.88,-0.867,-0.715
2026-09-01T21:38:18.347815,47332.09,1071003.0,22.63,125.0,93.5,738.395,-51.726,-9.292,-8.131,-3.579,-3.12,-1.889,-1.9,-1.44,-1.403,-0.977,-0.954,-0.784
2026-09-01T21:38:18.548725,139030.34,3145728.0,22.63,125.0,102.86,788.698,-51.293,-8.907,-7.795,-3.287,-2.865,-1.667,-1.707,-1.271,-1.256,-0.849,-0.843,-0.688
2026-09-01T21:38:18.747758,182467.53,4128769.0,22.63,125.0,105.22,809.501,-51.664,-9.236,-8.083,-3.537,-3.083,-1.856,-1.871,-1.415,-1.381,-0.957,-0.937,-0.77
2026-09-01T21:38:18.949032,3.57,77.0,21.57,125.0,11.05,233.869,-50.948,-8.547,-7.423,-2.921,-2.536,-1.372,-1.463,-1.144,-1.211,-0.93,-1.135,-1.124
2026-09-01T21:38:19.149196,60520.24,1310720.0,21.66,125.0,95.64,742.785,-51.903,-9.451,-8.272,-3.703,-3.23,-1.985,-1.982,-1.51,-1.464,-1.029,-0.999,-0.822
2026-09-01T21:38:19.348546,325997.88,7339999.0,22.52,125.0,110.26,802.723,-52.308,-9.82,-8.604,-4.002,-3.498,-2.229,-2.208,-1.722,-1.656,-1.201,-1.161,-0.974
2026-09-01T21:38:19.547436,69873.42,1581055.0,22.63,93.7,96.89,759.751,-51.645,-9.22,-8.068,-3.524,-3.071,-1.846,-1.862,-1.407,-1.374,-0.951,-0.932,-0.765
2026-09-01T21:38:19.749002,225961.88,4222207.0,18.69,125.0,107.08,794.821,-51.723,-9.289,-8.133,-3.582,-3.122,-1.9,-1.921,-1.468,-1.429,-0.969,-0.902,-0.695
2026-09-01T21:38:19.946996,69556.83,1573886.0,22.63,93.7,96.85,757.132,-51.778,-9.339,-8.173,-3.616,-3.152,-1.917,-1.925,-1.462,-1.423,-0.994,-0.969,-0.798
2026-09-01T21:38:20.149251,341812.84,7733231.0,22.62,125.0,110.68,807.154,-50.819,-8.492,-7.439,-2.983,-2.606,-1.446,-1.518,-1.111,-1.12,-0.733,-0.745,-0.605
2026-09-01T21:38:20.346924,8007.98,178176.0,22.25,125.0,78.07,645.319,-51.717,-9.283,-8.124,-3.573,-3.115,-1.885,-1.897,-1.437,-1.401,-0.975,-0.952,-0.781
2026-09-01T21:38:20.546777,43450.86,983039.0,22.62,125.0,92.76,706.559,-52.228,-9.746,-8.536,-3.938,-3.439,-2.173,-2.152,-1.665,-1.604,-1.156,-1.117,-0.933
2026-09-01T21:38:20.746947,278196.69,6289407.0,22.61,125.0,108.89,830.121,-51.457,-9.052,-7.921,-3.395,-2.959,-1.748,-1.777,-1.332,-1.31,-0.896,-0.887,-0.728
2026-09-01T21:38:20.946925,543.06,12288.0,22.63,125.0,54.7,480.542,-50.947,-8.604,-7.535,-3.065,-2.676,-1.505,-1.568,-1.153,-1.155,-0.762,-0.769,-0.624
2026-09-01T21:38:21.146951,25447.28,524289.0,20.6,125.0,88.11,604.697,-51.714,-9.113,-7.903,-3.212,-2.515,-1.048,-0.87,-0.498,-0.903,-1.295,-1.725,-1.249
2026-09-01T21:38:21.346857,1611.22,32767.0,20.34,125.0,64.14,544.056,-51.926,-9.473,-8.293,-3.725,-3.253,-2.014,-2.015,-1.54,-1.494,-1.051,-0.987,-0.77
2026-09-01T21:38:21.548033,23306.2,527359.0,22.63,93.7,87.35,702.689,-51.641,-9.215,-8.064,-3.52,-3.069,-1.844,-1.86,-1.405,-1.373,-0.95,-0.931,-0.764
2026-09-01T21:38:21.747958,1811.65,40964.0,22.61,125.0,65.16,529.838,-50.744,-8.426,-7.379,-2.928,-2.557,-1.402,-1.479,-1.084,-1.115,-0.754,-0.797,-0.697
2026-09-01T21:38:21.948425,46340.95,1048576.0,22.63,93.7,93.32,738.518,-51.579,-9.16,-8.016,-3.478,-3.032,-1.811,-1.832,-1.38,-1.351,-0.931,-0.914,-0.75
2026-09-01T21:38:22.146650,2.52,36.0,14.26,125.0,8.04,193.659,-49.155,-6.523,-5.226,-0.666,-0.308,0.67,0.394,0.604,0.082,-0.098,-0.673,-1.504
2026-09-01T21:38:22.346288,11607.84,262144.0,22.58,125.0,81.3,545.722,-51.685,-9.252,-8.092,-3.546,-3.097,-1.855,-1.835,-1.35,-1.302,-0.858,-0.822,-0.636
2026-09-01T21:38:22.548790,23172.55,524335.0,22.63,125.0,87.3,628.29,-50.337,-8.079,-7.093,-2.694,-2.366,-1.245,-1.349,-0.968,-1.0,-0.632,-0.661,-0.534
2026-09-01T21:38:22.748396,212681.31,4194304.0,19.72,125.0,106.55,707.116,-54.392,-11.225,-9.394,-4.466,-3.883,-2.545,-2.482,-1.831,-0.941,0.519,1.373,2.484
2026-09-01T21:38:22.948339,46341.26,1048575.0,22.63,125.0,93.32,729.915,-51.932,-9.477,-8.295,-3.724,-3.248,-2.002,-2.0,-1.528,-1.482,-1.046,-1.015,-0.837
2026-09-01T21:38:23.148819,135459.66,2097152.0,15.48,125.0,102.64,757.257,-51.57,-9.154,-8.013,-3.481,-3.045,-1.833,-1.859,-1.404,-1.322,-0.832,-0.757,-0.492
2026-09-01T21:38:23.548371,1448.16,32768.0,22.63,125.0,63.22,498.072,-50.494,-8.214,-7.205,-2.788,-2.444,-1.31,-1.403,-1.014,-1.038,-0.664,-0.687,-0.556
2026-09-01T21:38:23.747627,362863.19,7077887.0,19.51,125.0,111.19,804.746,-51.4,-9.001,-7.879,-3.362,-2.941,-1.748,-1.784,-1.331,-1.285,-0.857,-0.849,-0.702
2026-09-01T21:38:23.949119,370728.28,8388607.0,22.63,125.0,111.38,843.096,-51.811,-9.368,-8.198,-3.638,-3.172,-1.934,-1.94,-1.476,-1.436,-1.008,-0.984,-0.814
2026-09-01T21:38:24.149010,241577.23,4325377.0,17.9,125.0,107.66,813.107,-53.062,-9.951,-8.318,-3.656,-3.231,-2.134,-2.178,-1.288,-0.798,0.203,1.035,1.859
2026-09-01T21:38:24.348312,148777.88,2633439.0,17.7,125.0,103.45,792.648,-53.452,-10.45,-8.783,-3.981,-3.49,-2.228,-2.227,-1.641,-0.854,0.495,1.275,2.36
2026-09-01T21:38:24.548143,381958.81,8388607.0,21.96,125.0,111.64,829.34,-51.093,-8.731,-7.643,-3.156,-2.756,-1.577,-1.63,-1.205,-1.194,-0.794,-0.803,-0.664
2026-09-01T21:38:24.748757,5835.19,131072.0,22.46,125.0,75.32,618.417,-51.993,-9.532,-8.344,-3.767,-3.285,-2.035,-2.03,-1.554,-1.503,-1.065,-1.034,-0.854
2026-09-01T21:38:24.948995,90.51,2047.0,22.62,125.0,39.13,391.627,-50.968,-8.611,-7.526,-3.041,-2.644,-1.461,-1.517,-1.122,-1.139,-0.785,-0.869,-0.793
2026-09-01T21:38:25.148409,78313.81,1772031.0,22.63,125.0,97.88,764.274,-51.74,-9.304,-8.142,-3.589,-3.129,-1.897,-1.907,-1.446,-1.409,-0.982,-0.958,-0.788
2026-09-01T21:38:25.348267,1.88,36.0,19.18,125.0,5.47,194.459,-49.495,-7.159,-6.11,-1.7,-1.431,-0.393,-0.619,-0.455,-0.652,-0.512,-0.889,-0.999
2026-09-01T21:38:25.549016,254875.27,5767169.0,22.63,125.0,108.13,826.656,-51.683,-9.253,-8.097,-3.55,-3.094,-1.866,-1.88,-1.422,-1.388,-0.963,-0.942,-0.774
2026-09-01T21:38:25.748456,45119.02,1020927.0,22.63,125.0,93.09,687.85,-52.458,-9.956,-8.726,-4.111,-3.595,-2.313,-2.279,-1.778,-1.705,-1.246,-1.193,-0.996
2026-09-01T21:38:25.948188,322707.06,6815744.0,21.12,93.7,110.18,835.191,-52.682,-9.952,-8.531,-3.862,-3.404,-2.145,-2.135,-1.589,-1.035,0.008,0.532,1.379
2026-09-01T21:38:26.149026,370727.59,8388608.0,22.63,125.0,111.38,816.351,-50.89,-8.554,-7.492,-3.028,-2.644,-1.478,-1.544,-1.132,-1.138,-0.747,-0.757,-0.614
2026-09-01T21:38:26.348145,92505.33,2093056.0,22.63,93.7,99.32,772.482,-51.754,-9.315,-8.15,-3.594,-3.131,-1.899,-1.91,-1.45,-1.425,-1.011,-0.999,-0.847
2026-09-01T21:38:26.548464,5792.84,131071.0,22.63,125.0,75.26,596.424,-52.29,-9.802,-8.586,-3.983,-3.478,-2.206,-2.182,-1.693,-1.632,-1.185,-1.147,-0.966
2026-09-01T21:38:26.746496,139022.84,3145728.0,22.63,93.7,102.86,684.207,-50.289,-8.039,-7.059,-2.667,-2.343,-1.226,-1.333,-0.955,-0.99,-0.624,-0.654,-0.529
2026-09-01T21:38:26.948974,103621.66,2097152.0,20.24,125.0,100.31,755.156,-51.604,-9.021,-7.789,-3.283,-2.895,-1.778,-1.851,-1.218,-1.009,-0.302,0.189,0.741
2026-09-01T21:38:27.148759,5.73,128.0,22.32,93.7,15.17,154.244,-43.527,-2.525,-2.631,0.894,0.512,1.003,0.298,0.104,-0.422,-0.428,-0.737,-0.851
2026-09-01T21:38:27.348182,246192.02,5570593.0,22.63,125.0,107.83,772.196,-50.579,-8.286,-7.265,-2.837,-2.484,-1.342,-1.43,-1.036,-1.057,-0.681,-0.701,-0.568
2026-09-01T21:38:27.548168,167985.94,3801088.0,22.63,125.0,104.51,675.542,-51.224,-8.846,-7.742,-3.241,-2.826,-1.633,-1.677,-1.246,-1.235,-0.83,-0.827,-0.674
2026-09-01T21:38:27.747970,479502.75,8388608.0,17.49,125.0,113.62,820.803,-53.211,-9.945,-7.946,-2.856,-2.279,-1.228,-1.509,-1.298,-1.651,-1.798,-2.659,-3.631
2026-09-01T21:38:27.946628,95055.0,2150783.0,22.63,93.7,99.56,773.867,-51.434,-9.03,-7.901,-3.376,-2.942,-1.732,-1.762,-1.322,-1.307,-0.903,-0.903,-0.758
2026-09-01T21:38:28.146586,65.06,1472.0,22.63,125.0,36.27,353.74,-52.48,-9.986,-8.764,-4.157,-3.649,-2.375,-2.348,-1.853,-1.784,-1.324,-1.266,-1.059
